,dimension,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
1125,60,0.7992886259518125,0.9427163525361322,"(5, 4)",1,1,True,0.5411674272908262,0.535795588557782
1126,60,0.7931438191198488,0.8794127900115905,"(6, 7)",1,1,True,0.525789551881458,0.5215538767825054
1127,60,0.9081923788896774,0.8712778070009751,"(7, 8)",1,0,False,0.48962765092065136,0.4907724048632917
1128,60,0.9247427385728132,0.975896466944946,"(9, 8)",1,1,True,0.5134569802158211,0.512785644194169
1129,60,0.8772397909889903,0.8563544849847531,"(9, 10)",1,0,False,0.49397629932975345,0.49477886328414317
1130,60,0.7668309496425694,0.8390968453191454,"(12, 11)",1,1,True,0.522499733768634,0.5180586155542961
1131,60,0.8121943251495879,0.8858583585407366,"(13, 14)",1,1,True,0.5216907384849383,0.5184076851608986
1132,60,0.8761345004718193,0.887324618608445,"(15, 16)",1,1,True,0.5031727750350294,0.5027975003425941
1133,60,0.807279519347348,0.902659043017106,"(17, 18)",1,1,True,0.5278897516463603,0.5238268204367365
1134,60,0.9357586881031773,0.9705462480130913,"(20, 19)",1,1,True,0.5091243429240621,0.5086960130208592
1135,60,0.8740076206531383,0.9710731568735352,"(20, 21)",1,1,True,0.5263038717336032,0.5242473494025404
1136,60,0.7770298682321223,0.9198670323728961,"(22, 21)",1,1,True,0.5420877556231749,0.5356487015479693
1137,60,0.7028929827631828,0.9163704511560233,"(32, 31)",1,1,True,0.565918078529121,0.5531676046666361
1138,60,0.7952828568119104,0.9378346292969622,"(32, 33)",1,1,True,0.5411258248871239,0.5355777155965763
1139,60,0.7225782313643884,0.9652208720994955,"(33, 34)",1,1,True,0.5718813750514293,0.5603647834052649
1140,60,0.8178261775626844,0.9246104392710245,"(34, 35)",1,1,True,0.5306422227002967,0.5266707266542052
1141,60,0.8861960195787355,0.9007897371315003,"(36, 35)",1,1,True,0.5040833334843225,0.5036483646370655
1142,60,0.8883640146869247,0.8996151613250386,"(39, 40)",1,1,True,0.5031463304464231,0.5028127569877471
1143,60,0.7892968054358802,0.8780535116164618,"(40, 41)",1,1,True,0.5266160941923387,0.5221746212738458
1144,60,0.8663865252761173,0.8489038491872669,"(44, 43)",1,0,False,0.4949038727351573,0.4956294422967685
1145,60,0.8771656380196533,0.8817183561976314,"(47, 48)",1,1,True,0.5012942064948416,0.5011381775785549
1146,60,0.7648500568594538,0.9330677617760017,"(51, 52)",1,1,True,0.549536468452795,0.541955537517701
1147,60,0.8750481694333854,0.9213339173239631,"(53, 52)",1,1,True,0.5128830464943368,0.5115693715564049
1148,60,0.8998157232595205,0.863366774949692,"(56, 57)",1,0,False,0.4896638753087533,0.4908887716087326
1149,60,0.9110358885287464,0.8971152215422121,"(59, 58)",1,0,False,0.4961505797527099,0.49651988945261116
1150,60,0.9249153730814359,0.8921299123757523,"(62, 63)",1,0,False,0.49097835894127584,0.49180436892481616
1151,60,0.7235635513621428,0.9476817048821656,"(65, 64)",1,1,True,0.567051245974415,0.555796185027684
1152,60,0.8601133964952333,0.9254875960473861,"(67, 66)",1,1,True,0.5183059372797119,0.5163377316384405
1153,60,1.048858597331578,0.9660110669087547,"(71, 72)",1,0,False,0.4794409703284556,0.47929995597070524
1154,60,0.8716634231645884,1.0010203375825655,"(72, 73)",1,1,True,0.5345378427285467,0.5322942090064245
1155,60,0.8425514907013746,0.951811657380994,"(73, 74)",1,1,True,0.530445388603858,0.527287900647475
1156,60,0.611842853708154,0.9123671294746308,"(75, 76)",1,1,True,0.5985836200662247,0.574570675375632
1157,60,0.9739183935812301,0.9588313140490814,"(81, 82)",1,0,False,0.49609699086421105,0.496228301659513
1158,60,0.9205693453858109,0.9319567685131066,"(86, 87)",1,1,True,0.5030734851837875,0.5028468250187659
1159,60,0.941902150710285,0.9277012552122734,"(87, 88)",1,0,False,0.4962021636639552,0.4964498357874135
1160,60,0.7641950935718432,0.8918107560474591,"(89, 90)",1,1,True,0.538531162949984,0.5318606877318455
1161,60,0.7548429186590988,0.9604487709639162,"(90, 91)",1,1,True,0.5599332036494638,0.5512211475123365
1162,60,0.858441141447696,0.9777128590314121,"(92, 91)",1,1,True,0.5324786803156474,0.5297826310937924
1163,60,0.8405526194838959,0.8732546237909233,"(95, 96)",1,1,True,0.5095407474893556,0.5081747725668954
1164,60,0.89356726772081,0.8632417251930178,"(93, 40)",0,0,True,0.491369140683446,0.49241919532581946
1165,60,0.8438283406654321,0.7931819800655565,"(19, 80)",0,0,True,0.48453083650161105,0.48734111562769167
1166,60,0.9989046528275621,0.8389431020423175,"(19, 49)",0,0,True,0.45648128351181894,0.4600946665055676
1167,60,0.9573545010776519,0.626968784057996,"(49, 42)",0,0,True,0.395732859537134,0.41814677522633176
