,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
247,10,2.194297,1.8945249,"(199, 198)",1,0,False,0.4633425,0.42561316
248,10,2.079507,1.2889798,"(185, 210)",1,0,False,0.3826584,0.31205544
249,10,3.8146973,2.6165957,"(44, 45)",1,0,False,0.40685377,0.2318131
250,10,1.9744397,1.1666445,"(44, 46)",1,0,False,0.37141457,0.30836052
251,10,3.1273804,2.1404502,"(45, 46)",1,0,False,0.40632483,0.2715189
252,10,4.0906305,2.2555628,"(45, 161)",1,0,False,0.3554198,0.13763566
253,10,3.8620734,3.1264155,"(162, 45)",1,0,False,0.44736645,0.32395437
254,10,3.4796824,3.2961318,"(45, 196)",1,0,False,0.48645547,0.45424077
255,10,3.8453279,1.5294956,"(162, 161)",1,0,False,0.28456667,0.08982019
256,10,3.7532775,1.8009771,"(162, 48)",1,0,False,0.3242518,0.12430273
257,10,2.6359653,2.8869183,"(195, 196)",1,1,True,0.5227194,0.56241107
258,10,3.5490928,1.5914274,"(48, 246)",1,0,False,0.30958492,0.123719946
259,10,1.6982434,0.38131082,"(268, 292)",1,0,False,0.18336181,0.21132907
260,10,2.7098584,1.5202386,"(55, 99)",1,0,False,0.3593862,0.23332699
261,10,2.3611882,0.31056398,"(109, 110)",1,0,False,0.116239816,0.113989316
262,10,2.569803,2.5226042,"(63, 62)",1,0,False,0.49536577,0.48820248
263,10,2.207678,2.6300864,"(336, 62)",1,1,True,0.5436574,0.60405934
264,10,3.6912396,1.3622239,"(213, 281)",1,0,False,0.26956242,0.08874823
265,10,3.5479364,1.2636187,"(273, 252)",1,0,False,0.26262167,0.092430115
266,10,3.787554,1.5554193,"(339, 320)",1,0,False,0.29111493,0.09690166
267,10,4.365897,1.5002557,"(320, 349)",1,0,False,0.2557478,0.0538784
268,10,4.158637,1.7660362,"(183, 100)",1,0,False,0.29808164,0.08373866
269,10,3.996554,2.0799925,"(205, 183)",1,0,False,0.34229848,0.12824552
270,10,4.392772,2.3989725,"(206, 135)",1,0,False,0.35321888,0.119855456
271,10,2.6450999,1.8339164,"(257, 176)",1,0,False,0.40944627,0.30763838
272,10,1.8290418,1.6181395,"(71, 72)",1,0,False,0.46940944,0.447469
273,10,1.4401585,0.44200224,"(250, 249)",1,0,False,0.23483767,0.26930407
274,10,2.3406932,0.23655674,"(293, 361)",1,0,False,0.091786504,0.108695425
275,10,1.7334095,1.2091072,"(79, 78)",1,0,False,0.4109092,0.37184674
276,10,1.5242962,1.5470698,"(78, 131)",1,1,True,0.5037074,0.50569314
277,10,2.3249338,2.118907,"(91, 131)",1,0,False,0.47681883,0.44867474
278,10,3.1935759,1.7788843,"(81, 80)",1,0,False,0.35774732,0.19549511
279,10,3.5379837,3.1408257,"(130, 81)",1,0,False,0.47026733,0.4019954
280,10,3.7442124,2.288936,"(257, 81)",1,0,False,0.37939328,0.18919083
281,10,3.6592128,2.7991724,"(81, 351)",1,0,False,0.43341675,0.2973309
282,10,2.1055608,1.1634998,"(130, 126)",1,0,False,0.35591257,0.28048423
283,10,2.2903833,1.3922017,"(319, 351)",1,0,False,0.37805012,0.28942433
284,10,2.441088,0.77654725,"(265, 158)",1,0,False,0.24134097,0.1591534
285,10,2.01696,1.6583976,"(88, 332)",1,0,False,0.45122078,0.41130763
286,10,1.9635853,1.3499881,"(151, 89)",1,0,False,0.40741158,0.35123911
287,10,2.7068286,1.7318603,"(124, 332)",1,0,False,0.39017382,0.27389133
288,10,1.7764517,0.9151243,"(152, 151)",1,0,False,0.33999574,0.29706213
289,10,1.615215,1.6911399,"(90, 91)",1,1,True,0.5114817,0.5189721
290,10,1.4916186,1.767738,"(173, 90)",1,1,True,0.542358,0.5685945
291,10,3.255604,1.6655139,"(100, 101)",1,0,False,0.33844218,0.16937122
292,10,1.8543868,0.58437186,"(346, 114)",1,0,False,0.23961857,0.21925467
293,10,2.3105917,0.38073257,"(296, 125)",1,0,False,0.14146662,0.12676618
294,10,3.5771346,1.9689062,"(135, 118)",1,0,False,0.3550111,0.16683471
295,10,3.6940608,2.5127535,"(135, 134)",1,0,False,0.40483788,0.23481722
296,10,4.0590925,1.7932264,"(121, 120)",1,0,False,0.30641297,0.09398963
297,10,1.9025941,1.1262124,"(210, 123)",1,0,False,0.3718337,0.31510022
298,10,1.7985971,0.79629487,"(344, 133)",1,0,False,0.30687016,0.268489
299,10,1.7025694,0.3417051,"(141, 140)",1,0,False,0.16715227,0.20409985
