_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
47,celegans,1,2,0.95,0.4915254237288136,0.4398034398034398,-1.039425268997145,-2.988569877715234
48,celegans,1,2,0.95,0.6,0.4920634920634921,-0.8541608861667873,-1.593551715385613
49,celegans,1,2,0.95,0.5,0.4181547619047619,-0.9485611330617831,-3.23231052727693
50,celegans,1,3,0.05,0.8094182825484765,0.5828498320678732,-1.939022393745991,-0.8149554839952532
51,celegans,1,3,0.05,0.8126721763085399,0.4701535393818544,-1.4403047085653753,-1.0192615335396458
52,celegans,1,3,0.05,0.8143646408839779,0.5199570330167345,-1.2071012337377753,-1.374857277209125
53,celegans,1,3,0.05,0.8120842572062085,0.5441360355190432,-1.5244269695767372,-1.0485993284202797
54,celegans,1,3,0.05,0.8125,0.5190768757250752,-1.486134809139321,-0.9469357017901158
55,celegans,1,3,0.15,0.8114499066583696,0.6010169268460589,-1.3543550690173727,-3.2564001972399854
56,celegans,1,3,0.15,0.8076213890596189,0.5634771276156019,-1.4944057669746054,-3.6522819692598163
57,celegans,1,3,0.15,0.8112623762376238,0.5264411505134787,-1.3036465982640295,-3.6054773632407526
58,celegans,1,3,0.15,0.8127712337259765,0.581109418634171,-1.2422297120768908,-3.3752717606617924
59,celegans,1,3,0.15,0.8165195460277428,0.5251495973145458,-1.1476569082435764,-3.691887712917489
60,celegans,1,3,0.25,0.8255408234473133,0.6017210734831218,-0.8913900137457544,-5.125975253463543
61,celegans,1,3,0.25,0.8151494093120223,0.5341134165336615,-1.0745113341321169,-4.9274315948259435
62,celegans,1,3,0.25,0.8070809248554913,0.5545589826839826,-1.0398253496783352,-5.871213755759438
63,celegans,1,3,0.25,0.8147887323943662,0.5468745378601405,-0.9619788209859234,-6.019719398725424
64,celegans,1,3,0.25,0.8071428571428572,0.5459768405115846,-1.1870378557808103,-5.00159664793719
65,celegans,1,3,0.35,0.7934508816120907,0.5931908965055067,-1.085681759464358,-6.592538332130947
66,celegans,1,3,0.35,0.7963576158940397,0.608267201921245,-1.000222786363656,-7.018445901565008
67,celegans,1,3,0.35,0.8008196721311476,0.6237912680347087,-0.911989636150452,-6.990848360354056
68,celegans,1,3,0.35,0.7959677419354839,0.5846840357838479,-0.886802433529948,-6.747032890121583
69,celegans,1,3,0.35,0.801452784503632,0.5545263011265693,-0.9463619469808596,-7.285494129400414
70,celegans,1,3,0.44999999999999996,0.7896281800391389,0.5407543841444433,-0.6996194626434835,-7.999097852029668
