,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
273,5,3.6707587,3.5941055,"(84, 4)",0,0,True,0.4947244,0.48084605
274,5,3.3892913,3.6605904,"(4, 205)",0,1,False,0.51924133,0.56741184
275,5,4.8124566,4.2583447,"(54, 28)",0,0,True,0.4694563,0.36491093
276,5,3.6576104,3.7042422,"(54, 32)",0,1,False,0.5031671,0.5116558
277,5,4.1043296,4.0374546,"(54, 30)",0,0,True,0.4958931,0.48328745
278,5,5.014915,5.282778,"(58, 54)",0,1,False,0.513006,0.56656814
279,5,4.800061,4.688714,"(54, 59)",0,0,True,0.4941327,0.47219196
280,5,5.097426,4.6143384,"(54, 61)",0,0,True,0.47512877,0.38152328
281,5,4.51682,4.4606,"(95, 54)",0,0,True,0.49686882,0.48594868
282,5,3.6241822,3.2281713,"(54, 100)",0,0,True,0.47110403,0.40227118
283,5,4.1654773,4.6740527,"(54, 147)",0,1,False,0.5287671,0.6244725
284,5,4.231183,4.3242106,"(157, 54)",0,1,False,0.5054368,0.5232401
285,5,3.9620707,3.852543,"(204, 54)",0,0,True,0.49299216,0.47264543
286,5,3.0777192,3.7414362,"(209, 54)",0,1,False,0.54866564,0.66009486
287,5,4.747681,5.1515813,"(272, 54)",0,1,False,0.5204005,0.59962434
288,5,4.294712,4.0021286,"(22, 61)",0,0,True,0.48236778,0.4273715
289,5,3.5388403,3.2383575,"(61, 31)",0,0,True,0.47783133,0.42543948
290,5,4.1993685,3.3452673,"(61, 79)",0,0,True,0.44339678,0.29857326
291,5,3.5968683,3.8674846,"(85, 61)",0,1,False,0.51812726,0.5672442
292,5,4.4429903,4.1076508,"(61, 88)",0,0,True,0.480391,0.41694197
293,5,4.5754843,3.7790885,"(61, 89)",0,0,True,0.45233774,0.310797
294,5,5.0977635,5.009029,"(61, 109)",0,0,True,0.49561015,0.47783086
295,5,3.5305154,3.978651,"(61, 241)",0,1,False,0.5298393,0.6101959
296,5,3.4618049,3.9104648,"(243, 61)",0,1,False,0.53042895,0.61032057
297,5,3.9606197,3.7249987,"(69, 138)",0,0,True,0.48467132,0.4413658
298,5,3.771761,2.9820745,"(69, 155)",0,0,True,0.44153792,0.31223598
299,5,2.6185539,3.0870821,"(82, 72)",0,1,False,0.54105836,0.6150354
300,5,2.309552,4.2750087,"(151, 82)",0,1,False,0.64924735,0.8771223
