,theta,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
1508,0.18,0.6887307863524719,0.5840072274672383,"(99, 98)",1,0,False,0.4588589490735255,0.47384301127011813
1509,0.18,0.6515229437140077,0.6279408133164176,"(68, 48)",0,0,True,0.49078436951886667,0.4941047406025059
1510,0.18,0.657053072032789,0.6668369192677918,"(68, 75)",0,1,False,0.5036951133777329,0.5024459422975681
1511,0.18,0.7343884356719311,0.6319167525663392,"(48, 36)",0,0,True,0.4625004413407373,0.4744044723425899
1512,0.18,0.7224893684382833,0.6456424221217608,"(36, 73)",0,0,True,0.4719153714405448,0.4807977123417639
1513,0.18,0.7548753729552592,0.6756845346344256,"(73, 69)",0,0,True,0.4723217329450186,0.48021263020023913
1514,0.18,0.6781544480891746,0.6393872748184053,"(38, 69)",0,0,True,0.4852880661778145,0.49030942031119124
1515,0.18,0.6951205580197065,0.6369672968330863,"(38, 32)",0,0,True,0.4781721374552106,0.48546578045996724
1516,0.18,0.6744495519925249,0.6927618098223556,"(26, 32)",0,1,False,0.5066969374089763,0.5045779365281992
1517,0.18,0.6225101062913257,0.5929073435609556,"(26, 13)",0,0,True,0.48782197724165965,0.4925998497200187
1518,0.18,0.6322218706837628,0.6607729330773642,"(55, 13)",0,1,False,0.5110406717453738,0.507137280767623
1519,0.18,0.6580943548245426,0.5589071546080112,"(50, 47)",0,0,True,0.4592493520148636,0.4752235094167428
1520,0.18,0.7771682624177888,0.6587166018756029,"(35, 50)",0,0,True,0.4587530785065846,0.4704216607498641
1521,0.18,0.6932033862568733,0.6335067497026724,"(83, 35)",0,0,True,0.47750200479510724,0.48508027137031445
1522,0.18,0.6526131968757926,0.5571214096378093,"(91, 87)",0,0,True,0.46053192711697893,0.476145177480117
1523,0.18,0.6417070338671437,0.6604450615975533,"(12, 91)",0,1,False,0.5071950226842444,0.5046843698712079
1524,0.18,0.6248414261720048,0.6256062890232998,"(12, 20)",0,1,False,0.5003058355987222,0.5001912157035017
1525,0.18,0.6529144333903728,0.6373642048582835,"(20, 72)",0,0,True,0.49397408122899866,0.4961125212024721
1526,0.18,0.6233594589358522,0.5686691868992201,"(43, 25)",0,0,True,0.4770600009371759,0.486330838888869
1527,0.18,0.6921860216495976,0.6581222490830333,"(65, 25)",0,0,True,0.4873866681761186,0.4914848802123709
1528,0.18,0.618602166969665,0.5601323888095342,"(60, 65)",0,0,True,0.47519807242713796,0.48538671844312603
1529,0.18,0.6635777195949129,0.5978775057585387,"(67, 60)",0,0,True,0.47395856288994903,0.48358085224508823
1530,0.18,0.6336311396898044,0.5528022011383679,"(67, 53)",0,0,True,0.4659361652400062,0.47980375986878615
1531,0.18,0.6751637822275172,0.5850605922387748,"(53, 14)",0,0,True,0.4642511318562216,0.4774894299402602
1532,0.18,0.6690194020943244,0.6625059763984049,"(14, 3)",0,0,True,0.4975541488727414,0.4983716493328754
1533,0.18,0.5845382912530737,0.5694112639843256,"(3, 30)",0,0,True,0.4934455422249216,0.496218315295154
1534,0.18,0.5708091224527162,0.6056393900866156,"(97, 24)",0,1,False,0.5148031415156109,0.5087066867183043
1535,0.18,0.632241342230368,0.6831048054413915,"(94, 64)",0,1,False,0.519334630394081,0.5127131250856948
1536,0.18,0.6700470262301716,0.6901546782079403,"(64, 16)",0,1,False,0.5073914228721228,0.5050267436288116
1537,0.18,0.4163922738531138,0.6822583429829137,"(95, 93)",0,1,False,0.6209966412686592,0.5660777508488227
1538,0.18,0.6753795961389063,0.6913672208441145,"(31, 95)",0,1,False,0.5058487879783395,0.5039968210429964
1539,0.18,0.6754821769465927,0.6664900378405672,"(31, 56)",0,0,True,0.49664965525852867,0.49775198037111007
1540,0.18,0.6496590530185459,0.5924513850589339,"(7, 56)",0,0,True,0.4769715855346337,0.48570198224489064
1541,0.18,0.5809871186050178,0.6521566126410988,"(79, 92)",0,1,False,0.5288569337996646,0.517784867302999
1542,0.18,0.6432075332125774,0.6701589387374092,"(74, 92)",0,1,False,0.5102604284868093,0.5067374435584346
1543,0.18,0.6294796997336224,0.6398589756329527,"(74, 22)",0,1,False,0.5040884580690542,0.5025947956802328
1544,0.18,0.5413383333776545,0.5867370273173874,"(70, 0)",0,1,False,0.5201221902017971,0.5113477245410295
1545,0.18,0.7067626990200597,0.6184380393755297,"(81, 70)",0,0,True,0.46667498851854544,0.47793317894801024
1546,0.18,0.6903417023900408,0.5419926002973906,"(81, 29)",0,0,True,0.43980971649935585,0.46298059150498844
1547,0.18,0.6173033489648276,0.5681366708452148,"(29, 11)",0,0,True,0.4792622666275888,0.487710805989822
1548,0.18,0.6259062635558181,0.6171741805131247,"(57, 11)",0,0,True,0.49648772407113456,0.49781699311036653
1549,0.18,0.49836604589605066,0.5240841385465792,"(59, 57)",0,1,False,0.5125766971544673,0.5064291688013143
1550,0.18,0.5989722920321638,0.6250041844805834,"(51, 59)",0,1,False,0.5106341473663724,0.5065076056212321
1551,0.18,0.7488196791625452,0.7376598502232292,"(51, 40)",0,0,True,0.496246221788225,0.4972100717203308
1552,0.18,0.6245116416623178,0.578490570003519,"(71, 40)",0,0,True,0.480872407709429,0.48849676227665617
1553,0.18,0.6716129711588087,0.6603424517196315,"(1, 71)",0,0,True,0.4957691829450189,0.49718239996552094
1554,0.18,0.6083518128418092,0.6183337339983467,"(1, 19)",0,1,False,0.5040686552402326,0.5024954595687962
1555,0.18,0.6269336236560398,0.6306165623310881,"(19, 52)",0,1,False,0.5014643306947457,0.5009207336280236
1556,0.18,0.6154932810961784,0.654943263777179,"(39, 52)",0,1,False,0.5155261523451111,0.5098612167848503
1557,0.18,0.5834510293446992,0.6171692657438825,"(4, 37)",0,1,False,0.5140420066765137,0.5084287605464324
1558,0.18,0.6966396819857765,0.4697656302139959,"(37, 77)",0,0,True,0.40274647697552524,0.44352352514890814
1559,0.18,0.6785310890906029,0.5550411462011838,"(77, 63)",0,0,True,0.44994620527422574,0.4691666877220556
1560,0.18,0.6489316997004391,0.6733914925450797,"(33, 63)",0,1,False,0.5092487952219547,0.5061146433577173
1561,0.18,0.7075523195113322,0.6827685393041513,"(33, 28)",0,0,True,0.4910870285624945,0.49380437207631117
1562,0.18,0.6625468687692069,0.6080383115289476,"(61, 28)",0,0,True,0.47854982173353056,0.4863762337479165
1563,0.18,0.6642863240946563,0.6269481441879592,"(34, 61)",0,0,True,0.48554167317251135,0.49066653934378446
1564,0.18,0.6381154432521167,0.5735796770863946,"(23, 34)",0,0,True,0.47336963519845954,0.48387165576823427
1565,0.18,0.7086163715252839,0.5682629948771193,"(10, 23)",0,0,True,0.44504047119047385,0.46496914324240834
1566,0.18,0.6602589265440546,0.6112898056874165,"(44, 10)",0,0,True,0.48074430038921867,0.487760165589296
1567,0.18,0.5328852288499741,0.553377837949773,"(42, 44)",0,1,False,0.5094326179938035,0.5051229729947644
1568,0.18,0.686008652446029,0.43518063426648906,"(42, 54)",0,0,True,0.3881419840734465,0.4376197061226646
1569,0.18,0.596858885697137,0.6180772650138959,"(80, 54)",0,1,False,0.5087323022301793,0.5053043958187602
1570,0.18,0.6403949730816889,0.5683378351383455,"(6, 80)",0,0,True,0.47019310742071524,0.4819935059965795
1571,0.18,0.6310562471715946,0.5977901435090477,"(78, 6)",0,0,True,0.48646449877102976,0.49168424094512114
1572,0.18,0.5261294248324127,0.6578536023094754,"(27, 66)",0,1,False,0.5556275615686157,0.5328835105881773
1573,0.18,0.5110547041699535,0.5749598600010629,"(85, 41)",0,1,False,0.5294218687020509,0.5159708540881062
1574,0.18,0.5635740117344877,0.6370509852191961,"(49, 99)",0,1,False,0.5305994684731451,0.5183609834075309
1575,0.18,0.6072605424017185,0.6567817211800357,"(99, 96)",0,1,False,0.5195884189180493,0.5123777652498535
1576,0.18,0.6178473945889559,0.6321005085283258,"(2, 8)",0,1,False,0.5057014831993492,0.5035632181623594
1577,0.18,0.5272016088603533,0.6375487229469414,"(2, 18)",0,1,False,0.5473694280538933,0.5275588200638073
1578,0.18,0.6222928146291762,0.5871357491549357,"(21, 9)",0,0,True,0.48546542287531247,0.4912116388280935
