,T2,theta,dim,intercept,coefs,accuracy,auroc,aupr
324,3.0,0.68,55,-0.016969019195619515,[-18.57119768   8.29365933],0.8683870967741936,0.9451795904162942,0.9487028732912193
325,3.0,0.68,64,-0.0386545997189619,[-19.74747323   8.26054188],0.8832258064516129,0.9555831963780531,0.9585317794531175
326,3.0,0.68,73,-0.124308358364179,[-20.88968461   8.25910466],0.8870967741935484,0.9615659358499802,0.9643228775007381
327,3.0,0.68,82,-0.16841677428545274,[-21.32704743   7.86896724],0.8980645161290323,0.9672273091326278,0.9698024854438987
328,3.0,0.68,91,-0.13206607333007303,[-21.41837846   7.37534216],0.9090322580645162,0.9716714871595059,0.9740471679110888
329,3.0,0.68,100,-0.024659116305270623,[-21.40796569   7.0607851 ],0.9141935483870968,0.9747735866964389,0.9768004373358056
330,3.0,0.77,10,0.36088583156804704,[-14.24486703   3.92928271],0.6462395543175488,0.7325093219168624,0.7263023027777342
331,3.0,0.77,19,0.7693902382217385,[-16.18839603   5.23888187],0.7845868152274837,0.8568291672420937,0.8392962639321077
332,3.0,0.77,28,0.3814202942233851,[-14.89275701   5.94074094],0.7957288765088208,0.8711642038392486,0.8457690772018259
333,3.0,0.77,37,0.7543201184609574,[-16.44504443   6.93645279],0.8040854224698236,0.8917380196105512,0.8781583171335726
334,3.0,0.77,46,0.7232710699468223,[-16.88352642   7.29920955],0.8217270194986073,0.9109411683469133,0.9031904517574444
335,3.0,0.77,55,0.61302363582736,[-17.19238943   7.28508033],0.8291550603528319,0.926080651843668,0.9209016867352031
336,3.0,0.77,64,0.4375011982638762,[-16.50261552   6.81068903],0.8430826369545033,0.9332481701422455,0.9297756254247304
337,3.0,0.77,73,0.38747845155688715,[-16.2120943    6.44559785],0.8560817084493965,0.9431466648253004,0.941073355711241
338,3.0,0.77,82,0.24719884193021435,[-15.91446866   5.99040845],0.8672237697307336,0.951633061731805,0.9505383523454007
339,3.0,0.77,91,0.2410531770709242,[-15.11759861   5.47828536],0.8802228412256268,0.9584138931086866,0.9573775926203476
340,3.0,0.77,100,0.12969251133098048,[-15.51939515   5.47745966],0.89322191272052,0.9621530175390139,0.9614313500959741
341,3.0,0.86,10,-0.04200912341189833,[-15.04799835   2.94622314],0.6676470588235294,0.7561408675166297,0.7429026050606743
342,3.0,0.86,19,0.002446677276461553,[-14.14012284   3.00610447],0.7397058823529412,0.808515798226164,0.7943966490247922
343,3.0,0.86,28,-0.2611825872269565,[-12.0244601    3.03779141],0.788235294117647,0.8601718403547671,0.8486781683193294
344,3.0,0.86,37,-0.07226594388881553,[-12.25694322   3.60565047],0.8044117647058824,0.8929808758314857,0.8866035644128875
345,3.0,0.86,46,0.064178454793256,[-12.60692222   3.7153266 ],0.8235294117647058,0.910121604767184,0.9031895490743241
346,3.0,0.86,55,0.27237034748292777,[-13.58540587   3.97856382],0.8382352941176471,0.9269332039911308,0.9187459830430786
347,3.0,0.86,64,0.3658227900459081,[-13.67157489   3.96852435],0.861764705882353,0.9376472422394679,0.9274926647742138
348,3.0,0.86,73,0.3167290548103789,[-13.58191656   3.87907144],0.8764705882352941,0.9434676413525499,0.9325193046663003
349,3.0,0.86,82,0.40329648467477275,[-14.10231754   3.93781473],0.8838235294117647,0.9502927522172949,0.9385381922509499
350,3.0,0.86,91,0.3514604136413845,[-14.26194792   3.72592369],0.8955882352941177,0.9590493348115299,0.9488164327189719
351,3.0,0.86,100,0.26586473041980213,[-13.96929805   3.5353413 ],0.9,0.9628603104212861,0.9537833845254002
352,3.0,0.95,10,0.1215793360521039,[-11.2673409    2.21050042],0.7454545454545455,0.8178717031367002,0.8090383975032134
353,3.0,0.95,19,0.1068723537944192,[-8.49656836  2.52789058],0.6318181818181818,0.7125384807388301,0.7195787854187299
354,3.0,0.95,28,-0.05067572580241562,[-11.03446512   2.36529622],0.8181818181818182,0.8719527414926367,0.8825893495879147
355,3.0,0.95,37,-0.09782419104871805,[-11.29836189   2.50702897],0.8136363636363636,0.8767784341459357,0.898588489484438
356,3.0,0.95,46,0.9698870440137668,[-12.87281147   2.71133124],0.8272727272727273,0.8885930609867709,0.9067248662143261
357,3.0,0.95,55,0.5434863827548694,[-13.77129583   2.90952165],0.8727272727272727,0.929112238954988,0.9447025708189442
358,3.0,0.95,64,0.20757802522723034,[-13.77803832   3.00461309],0.8909090909090909,0.9417588817705299,0.9573182097863787
359,3.0,0.95,73,0.20259651620090882,[-14.21843171   3.00369566],0.8772727272727273,0.9578167900823696,0.9703741534092419
360,3.0,0.95,82,0.44155300303849065,[-14.84939564   3.27054736],0.8954545454545455,0.9727930776270906,0.9798265545512548
361,3.0,0.95,91,0.1890371883643785,[-14.63184999   3.53937105],0.9136363636363637,0.9781179798652134,0.9828621337916197
362,3.0,0.95,100,0.4891241778417231,[-14.4925201    3.56104837],0.9045454545454545,0.9815292453615109,0.9851058282437829
363,4.0,0.05,10,-4.1449033931300665,[-65.76156055 229.49830549],0.6019155206286837,0.6374567549383382,0.6210003004089406
364,4.0,0.05,19,-3.018279422230335,[-49.70485694 210.66893856],0.6141944990176817,0.6637224683259552,0.6426166666958626
365,4.0,0.05,28,0.33068536104201546,[-38.23833721 133.60020304],0.6429273084479371,0.7029469243386018,0.6901330724514249
366,4.0,0.05,37,0.5984737886226552,[-40.32697166 123.40226447],0.6512770137524558,0.7249530850938334,0.7164123622598813
367,4.0,0.05,46,0.7234776031567668,[-43.92746839 113.01442117],0.6598722986247544,0.7283587731658557,0.7175098684986492
368,4.0,0.05,55,0.2858741459366555,[-47.2080423  111.48235852],0.6827111984282908,0.756082533566563,0.750757167028919
369,4.0,0.05,64,0.20971046468070118,[-44.71244456 103.77809158],0.7016208251473477,0.7799079963650144,0.7761067132456342
370,4.0,0.05,73,0.455101745186009,[-45.54120165  98.32400186],0.7173379174852652,0.7912804735806176,0.7840469524999385
371,4.0,0.05,82,0.4418381383571651,[-48.85697861  92.36479388],0.7180746561886051,0.7997583270189091,0.7926540915128136
372,4.0,0.05,91,0.9175873387256204,[-47.55058837  97.93897191],0.7143909626719057,0.8008880480914276,0.7980513545643966
373,4.0,0.05,100,1.0997539453797536,[-46.80512171 101.26580356],0.7271611001964636,0.8075585408046905,0.8057322083005245
374,4.0,0.14,10,0.0207034894130009,[-34.41571562  43.91268702],0.6663954434499593,0.7265538748002043,0.7249584717245258
