,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
204,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.525,0.2416918305316286,"[-30.584939801505705, 7.572856941486944]",0.7613080684596577,0.837577360439208,0.8331534195783703,-1.0,-30.584939801505705,7.572856941486944
205,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.5499999999999999,-0.04164195783959285,"[-22.714579937975834, 8.21016525302442]",0.7606779661016949,0.8400599384982087,0.8406325174682987,-1.0,-22.714579937975834,8.21016525302442
206,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.575,0.05959055983988675,"[-23.06744967817147, 7.474216123625972]",0.7771855010660981,0.860885993781525,0.8612732432225145,-1.0,-23.06744967817147,7.474216123625972
207,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.6,-0.05282113030743968,"[-20.70307984484273, 6.966584075619687]",0.7563183704262543,0.8420556236688035,0.8486468128113667,-1.0,-20.70307984484273,6.966584075619687
208,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.625,0.11221157141172283,"[-22.609275092606474, 6.390285643505772]",0.7779141104294478,0.8623558056545332,0.867328618178876,-1.0,-22.609275092606474,6.390285643505772
209,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.65,-0.08338350837463733,"[-20.5572900359965, 6.956103309695191]",0.76,0.8444848231932441,0.8403998609627726,-1.0,-20.5572900359965,6.956103309695191
210,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.675,-0.2053356635799716,"[-24.765395490455962, 8.111076466447415]",0.774876181900045,0.8547219384031529,0.8564184556845778,-1.0,-24.765395490455962,8.111076466447415
211,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.7,-0.10269476400087453,"[-23.375963506098312, 7.552020438414492]",0.7711821410451547,0.8492349142151557,0.8392390634167839,-1.0,-23.375963506098312,7.552020438414492
212,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.725,-0.056440003480982597,"[-23.760959103073446, 7.28465330299495]",0.7471022128556375,0.8378792253364723,0.839083278301685,-1.0,-23.760959103073446,7.28465330299495
213,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.75,0.08951383532136083,"[-23.95711445429225, 7.630870570674625]",0.7567398119122257,0.8367907126083645,0.8303763074880888,-1.0,-23.95711445429225,7.630870570674625
214,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.775,0.13409520373812958,"[-24.097866391453437, 7.3750119094752105]",0.755249343832021,0.8323259273047536,0.8389755806047294,-1.0,-24.097866391453437,7.3750119094752105
215,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.7999999999999999,-0.011875328738276415,"[-28.16764879571095, 7.562475192874105]",0.7361008154188288,0.8188988507871955,0.8059450442721714,-1.0,-28.16764879571095,7.562475192874105
216,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.825,0.09866822917157059,"[-28.001020843108186, 8.241930441117207]",0.7315789473684211,0.8109109713005258,0.7949532980312988,-1.0,-28.001020843108186,8.241930441117207
