,N,tau1,tau2,avg_k,min_community,mu,prob,pfi,distance,rep,largest_component,dimensions,walk_length,num_walks,workers,window,min_count,batch_words,_time_embedd,AUROC,Accuracy,_time_all,kmax
88,500,2.1,1.0,5,10,0.3,1.0,0.4,logistic,1,True,128,30,100,24,10,1,4,196.23973080399446,0.5118091840836013,0.5099894847528917,196.26601494196802,22.360679774997898
89,500,2.9,1.0,5,10,0.1,1.0,0.95,logistic,5,True,128,30,100,24,10,1,4,192.25506186112761,0.5,0.6229508196721312,192.28780439612456,22.360679774997898
90,500,2.9,1.0,5,10,0.1,1.0,0.95,logistic,2,True,128,30,100,24,10,1,4,199.49521154211834,0.5,0.5,199.50008615315892,22.360679774997898
91,500,2.1,1.0,5,10,0.3,1.0,0.8,inverse,1,True,128,30,100,24,10,1,4,161.52684157900512,0.8308487720809995,0.5669781931464174,161.5421374910511,22.360679774997898
92,500,2.1,1.0,5,10,0.3,1.0,0.6,logistic,3,True,128,30,100,24,10,1,4,194.5838984430302,0.5048640558742828,0.521311475409836,194.60304130101576,22.360679774997898
93,500,2.5,1.0,12,100,0.75,1.0,0.5,logistic,5,True,128,30,100,24,10,1,4,197.49953534197994,0.5055935701096992,0.5242718446601942,197.60183752514422,22.360679774997898
94,500,2.1,1.0,5,10,0.3,1.0,0.5,inverse,5,True,128,30,100,24,10,1,4,199.92358267097734,0.8550147986820795,0.5488997555012225,200.14294204115868,22.360679774997898
95,500,2.9,1.0,5,10,0.1,1.0,0.7,inverse,5,True,128,30,100,24,10,1,4,208.72115948796272,0.8522571819425444,0.5477707006369427,208.7634635490831,22.360679774997898
96,500,2.9,1.0,5,10,0.1,1.0,0.7,logistic,5,True,128,30,100,24,10,1,4,203.04380642413162,0.5,0.4695121951219512,203.0994978810195,22.360679774997898
97,500,2.9,1.0,5,10,0.1,1.0,0.95,logistic,4,True,128,30,100,24,10,1,4,196.76411375706084,0.5,0.4634146341463415,196.76920824311674,22.360679774997898
98,500,2.5,1.0,12,100,0.75,1.0,0.5,negexp,2,True,128,30,100,24,10,1,4,194.96219555288553,0.82112159071346,0.7444051825677267,194.9909320459701,22.360679774997898
99,500,2.1,1.0,5,10,0.75,1.0,0.9,inverse,5,True,128,30,100,24,10,1,4,137.26450355211273,0.7641711229946524,0.5527950310559007,137.27404337609187,22.360679774997898
100,500,2.9,1.0,5,10,0.1,1.0,0.8,inverse,4,True,128,30,100,24,10,1,4,201.09220490884036,0.8642096964919196,0.536986301369863,201.10614080098458,22.360679774997898
101,500,2.9,1.0,5,10,0.1,1.0,0.9,inverse,4,True,128,30,100,24,10,1,4,172.3363596398849,0.8069651741293532,0.5523255813953488,172.34622441907413,22.360679774997898
102,500,2.5,1.0,12,100,0.75,1.0,0.2,negexp,2,True,128,30,100,24,10,1,4,206.15297287190333,0.7791444613010724,0.667687595712098,206.34593663387932,22.360679774997898
103,500,2.1,1.0,5,10,0.3,1.0,0.7,inverse,4,True,128,30,100,24,10,1,4,172.79016192397103,0.8590513889870643,0.5349301397205589,172.81275005592033,22.360679774997898
104,500,2.1,1.0,5,10,0.3,1.0,0.6,inverse,3,True,128,30,100,24,10,1,4,192.51409499300644,0.8673104434907011,0.5598227474150664,192.53267264505848,22.360679774997898
105,500,2.5,1.0,12,100,0.75,1.0,0.5,inverse,1,True,128,30,100,24,10,1,4,194.61866246606223,0.8215543767316877,0.5691158156911582,194.65090493299067,22.360679774997898
106,500,2.5,1.0,12,100,0.75,1.0,0.4,inverse,5,True,128,30,100,24,10,1,4,200.89489058800973,0.8388280100002334,0.5020576131687243,201.16845393180847,22.360679774997898
