accuracy,auroc,pr,method,theta,mu
0.7302021613747761,0.8137277209832521,0.8148904393523521,ISOMAP,0.25,0.2
,,,N2V,0.1,0.4
0.6744363166191395,0.7408208031693915,0.7361836071358812,ISOMAP,0.15,0.3
,,,N2V,0.05,0.2
0.618628765720199,0.6625304807493345,0.6481016807716964,ISOMAP,0.05,0.3
0.6189252237797669,0.6614243547065966,0.6391339540008458,ISOMAP,0.05,0.5
,,,N2V,0.1,0.3
,,,N2V,0.2,0.3
,,,N2V,0.35,0.3
0.8788264764573515,0.9582422235496344,0.9594898562273064,ISOMAP,0.65,0.1
0.6596102280580511,0.7190974224681862,0.7077536411211154,ISOMAP,0.1,0.3
0.6982533383100115,0.7682180432633111,0.7627470281781393,ISOMAP,0.35,0.5
0.6972964712604729,0.7698378928350061,0.7654686707063717,ISOMAP,0.25,0.4
0.8653678169816119,0.9481078205409295,0.9501969508745912,ISOMAP,0.55,0.1
,,,N2V,0.35,0.2
,,,N2V,0.2,0.4
0.8544161726063935,0.9366743066533352,0.9387296302026827,LE,0.25,0.1
0.6669769372146795,0.7307511342595532,0.7231439065156575,ISOMAP,0.15,0.4
,,,N2V,0.2,0.5
0.882621739216816,0.9620583809634407,0.9628776694406971,ISOMAP,0.75,0.1
,,,N2V,0.15,0.4
0.6917534121181538,0.7640317952381992,0.7622973048861473,ISOMAP,0.15,0.2
0.6184396782841823,0.6619052788647795,0.6442639857901576,ISOMAP,0.05,0.5
,,,N2V,0.25,0.5
,,,N2V,0.35,0.2
0.6209124903403817,0.6660703149161101,0.6514745281310602,ISOMAP,0.05,0.3
0.7065104770741514,0.7827445265907743,0.7807318129051197,ISOMAP,0.35,0.4
,,,N2V,0.1,0.5
0.7611468588708761,0.8518989878714236,0.8567000919721531,ISOMAP,0.35,0.2
0.6787419736924132,0.7461701941704573,0.7425161026997031,ISOMAP,0.2,0.4
0.6641200681551637,0.7286752881650024,0.7181779427852011,ISOMAP,0.1,0.2
0.6885038780547724,0.7602729611724978,0.7578051433214692,ISOMAP,0.15,0.2
0.7092452090491894,0.7858401248922701,0.7846520912882857,ISOMAP,0.35,0.4
,,,N2V,0.35,0.3
0.6892541296211021,0.7614087444268666,0.758730118422696,ISOMAP,0.15,0.2
,,,N2V,0.15,0.2
,,,N2V,0.05,0.4
0.7554038158960024,0.8475976767167852,0.8541719778683213,ISOMAP,0.35,0.2
0.6451830960942825,0.7008794687090241,0.6875829904119649,ISOMAP,0.1,0.4
0.8145204269638969,0.9038433680487472,0.9063943314321834,ISOMAP,0.35,0.1
0.6205247966413014,0.6630975047541693,0.6459445598674524,ISOMAP,0.05,0.5
,,,N2V,0.05,0.4
,,,N2V,0.2,0.5
0.7614136964357229,0.8409578913764671,0.8239435624787075,N2V,0.95,0.1
0.6268513490000475,0.6773388078546487,0.6682750891309709,ISOMAP,0.05,0.2
0.7060155137924764,0.7844789412031945,0.7856506778456829,ISOMAP,0.2,0.2
0.7014542686591082,0.7768660532493146,0.7733824969356523,ISOMAP,0.25,0.3
,,,N2V,0.15,0.2
0.6857788148388465,0.7535071000229236,0.7466384822271162,ISOMAP,0.2,0.4
,,,N2V,0.2,0.2
0.719543457742458,0.7997164121187332,0.8007165369971566,ISOMAP,0.15,0.1
0.6814596461426047,0.7490972030904708,0.745107757776991,ISOMAP,0.2,0.4
0.6810970267323051,0.7487987744958744,0.7426700788448478,ISOMAP,0.2,0.4
0.9187809190789343,0.977244461921951,0.9778108496170255,LE,0.75,0.1
0.687031381895824,0.7562881330399671,0.7484768010327681,ISOMAP,0.2,0.4
0.688968186694961,0.7603911771454639,0.7594920366765928,ISOMAP,0.15,0.2
,,,N2V,0.35,0.4
,,,N2V,0.1,0.4
,,,N2V,0.1,0.2
,,,N2V,0.1,0.3
0.6972363441764459,0.768041417899409,0.7620030091519915,ISOMAP,0.35,0.5
,,,N2V,0.05,0.2
0.7071377319614774,0.7836996875855989,0.7844725239203804,ISOMAP,0.25,0.3
0.8673408089707649,0.9549718944308622,0.9565327233898799,ISOMAP,0.95,0.1
,,,N2V,0.35,0.4
,,,N2V,0.2,0.5
0.7127938469547757,0.791191057757004,0.7910276712066169,ISOMAP,0.2,0.2
0.6706785810739405,0.7378278447746291,0.7337472951848879,ISOMAP,0.15,0.3
,,,N2V,0.05,0.3
,,,N2V,0.1,0.3
0.6579867901965825,0.7177035081600941,0.7102403905411692,ISOMAP,0.1,0.3
0.6876620947630923,0.7601431185913996,0.7574017892406459,ISOMAP,0.2,0.3
,,,N2V,0.2,0.4
,,,N2V,0.25,0.4
,,,N2V,0.15,0.4
0.8652143160277267,0.946225067904962,0.9481799461329111,LE,0.3,0.1
0.6206870799103809,0.6637099883513301,0.6443073950035548,ISOMAP,0.05,0.5
,,,N2V,0.15,0.5
0.6764664396397122,0.741253508299245,0.7330431220110705,ISOMAP,0.25,0.5
,,,N2V,0.05,0.3
0.7725298086699325,0.8603025455182803,0.8631105588204367,ISOMAP,0.25,0.1
0.8837274542484199,0.957844816391283,0.9593812140030085,LE,0.4,0.1
0.647777164920022,0.7024352183415267,0.6898873935722213,ISOMAP,0.1,0.5
,,,N2V,0.25,0.4
0.6429780697820432,0.6961975423283908,0.6848442467291321,ISOMAP,0.1,0.5
0.713770109377407,0.7906446447817765,0.7881246593707392,N2V,0.1,0.1
,,,N2V,0.25,0.5
0.6636599457611131,0.7237179628016976,0.7139665330236501,ISOMAP,0.15,0.5
,,,N2V,0.1,0.2
0.6364414833070521,0.6895269190269954,0.681479292244482,ISOMAP,0.05,0.1
0.6919200648841259,0.7621828018865979,0.7560152636928841,ISOMAP,0.25,0.4
,,,N2V,0.1,0.4
0.6188112831986219,0.6637208877179929,0.6479916892834157,ISOMAP,0.05,0.4
0.6784799341740536,0.7446626943217681,0.7380811170539947,ISOMAP,0.15,0.3
0.6640154712066759,0.7273235333508896,0.722367041253762,ISOMAP,0.1,0.2
0.6888295877809164,0.7611986741898409,0.7571617636357092,ISOMAP,0.2,0.3
,,,N2V,0.15,0.4
0.7581656498970376,0.8489327483034173,0.8538639543602701,ISOMAP,0.35,0.2
,,,N2V,0.15,0.2
0.6238885174441561,0.6698427467844257,0.6545023908772649,ISOMAP,0.05,0.3
0.6905151648234652,0.7628277733396734,0.7611206639594569,ISOMAP,0.25,0.4
0.6934091302591332,0.7672581606227242,0.7646826979514401,ISOMAP,0.15,0.2
0.6200475394145921,0.6650999372332979,0.6485916655819591,ISOMAP,0.05,0.4
0.8371941308506285,0.9190954305658715,0.9198408564473204,N2V,0.55,0.1
0.7252537647890518,0.8089931966796831,0.8113715002342464,ISOMAP,0.25,0.2
0.6481688066844413,0.7025810131416137,0.6891857205920057,ISOMAP,0.1,0.4
0.6432588934775628,0.6960656844593767,0.6845396050552955,ISOMAP,0.1,0.5
0.6518478195124902,0.7087401895848406,0.696712117544959,ISOMAP,0.1,0.4
0.6475388702680283,0.7008971853295709,0.6857397596350903,ISOMAP,0.1,0.5
,,,N2V,0.1,0.5
0.7350655899780372,0.8190216174063647,0.8188815130250442,ISOMAP,0.25,0.2
0.6789861069314876,0.7467095076343839,0.7405886509809076,ISOMAP,0.2,0.4
0.6702588256175872,0.7326879847192466,0.7228767323513603,ISOMAP,0.2,0.5
0.6269158741617233,0.6761521041556994,0.665522848210555,ISOMAP,0.05,0.2
