,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
106,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.85,0.029077412715477743,"[-29.30803320719807, 3.0299273729479745]",0.6017357762777242,0.6275530338567843,0.6291592404040305,-1.0,-29.30803320719807,3.0299273729479745
107,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.875,-0.2520223954908466,"[-3983.523421096478, 10.872166584593183]",0.7340425531914894,0.7932574846951611,0.7735051031355296,-1.0,-3983.523421096478,10.872166584593183
108,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.9,0.007462985391052361,"[-3708.7011257802637, 11.018158694315824]",0.6823855755894591,0.7544807286288893,0.7716689567796859,-1.0,-3708.7011257802637,11.018158694315824
109,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.9249999999999999,-0.01575028326590858,"[-107.67666985423266, 2.669902373841776]",0.5774647887323944,0.6225038900414938,0.6270945081386582,-1.0,-107.67666985423266,2.669902373841776
110,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.95,-0.1126127181511206,"[-3549.63204442673, 12.103782523149524]",0.6904761904761905,0.749990907437716,0.6797741438353178,-1.0,-3549.63204442673,12.103782523149524
111,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.05,0.4978747993422123,[-9111.355730671408],0.5269853508095605,0.5397794647523909,0.5395348649138204,-1.0,-9111.355730671408,
112,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.075,0.06782077818703133,[-16495.644945888325],0.5481569560047562,0.563893275798445,0.555879950693975,-1.0,-16495.644945888325,
113,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.1,0.08859356441461784,[-10618.789506321278],0.5386354295108919,0.5561623484829031,0.5422530889055523,-1.0,-10618.789506321278,
114,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.125,0.33246180234320133,[-12994.07730631305],0.5381213142375737,0.5597043540441056,0.542251762033866,-1.0,-12994.07730631305,
115,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.15,-13.890779144961718,[-229182.6477051416],0.5536977491961415,0.5745311274190832,0.6203771052428978,-1.0,-229182.6477051416,
116,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.175,-0.35368319154576916,[-8972.866703114893],0.5590778097982709,0.586561061244068,0.5730547455396466,-1.0,-8972.866703114893,
117,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.2,0.36532947773975144,[-9163.028614713156],0.5742916378714582,0.6044753086419753,0.6037512233628982,-1.0,-9163.028614713156,
118,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.22499999999999998,-0.04555020414574972,[-7692.250414331171],0.5731998092513114,0.6108627478360859,0.5954630925355686,-1.0,-7692.250414331171,
119,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.25,0.055084649256941745,[-7482.735159945011],0.5778377053199314,0.6197496173868641,0.6168366931286424,-1.0,-7482.735159945011,
120,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.27499999999999997,0.8722349686175261,[-8942.631954337447],0.5897110998479473,0.6247826247826248,0.6189642133263917,-1.0,-8942.631954337447,
121,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.3,0.05903453583701968,[-7225.207440838748],0.5864661654135338,0.6189815494503662,0.6108544720485033,-1.0,-7225.207440838748,
122,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.32499999999999996,0.18618923861982797,[-8554.243783461574],0.5946825827455237,0.6356084885869285,0.6354518160242337,-1.0,-8554.243783461574,
123,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.35,-0.12750902799267885,[-7358.1108771988],0.5895395110858442,0.628031280461476,0.6309707585444158,-1.0,-7358.1108771988,
124,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.37499999999999994,-0.13410594656692504,[-5658.460224835079],0.5981335666375036,0.6326714881306901,0.6135525005107951,-1.0,-5658.460224835079,
125,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.39999999999999997,0.2546896378089072,[-6268.255800444424],0.6079877112135177,0.6573292544141514,0.6450882154929374,-1.0,-6268.255800444424,
126,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.42499999999999993,0.11818973741767355,[-6513.0665217619],0.6192307692307693,0.6639523086083751,0.6507776197656592,-1.0,-6513.0665217619,
127,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.44999999999999996,-0.00845716701580237,[-5499.331108901587],0.6243722798794777,0.6822841979048679,0.656539221229933,-1.0,-5499.331108901587,
128,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.475,0.05682327057087183,[-5033.845871546493],0.6146272855133614,0.6689179019497173,0.6448417819372798,-1.0,-5033.845871546493,
129,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.49999999999999994,0.31381082886478706,[-5082.181009435945],0.6122302158273382,0.6544538009988722,0.6402134613464787,-1.0,-5082.181009435945,
130,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.525,0.13023150659535526,[-4308.390301311892],0.6179992275009656,0.6621216407692703,0.6594243112383328,-1.0,-4308.390301311892,
131,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.5499999999999999,0.15966837402114983,[-3998.7201738429144],0.6182861828618286,0.6697618368741292,0.6600814157191048,-1.0,-3998.7201738429144,
132,LFR_gamma-3.5,1,2,"{'emb', 'imb'}",0.575,-0.19720463817906167,[-4187.324181376094],0.6438818565400843,0.6959015599539649,0.6880744979932908,-1.0,-4187.324181376094,
