,theta,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
4246,0.66,4.5776005,7.741892,"(21, 20)",1,1,True,0.6284262,0.9594681
4247,0.66,5.4241867,7.3967986,"(22, 21)",1,1,True,0.57692903,0.8778914
4248,0.66,4.7101846,5.9281445,"(32, 33)",1,1,True,0.55724394,0.7717043
4249,0.66,3.5854383,4.994567,"(34, 33)",1,1,True,0.582117,0.8036285
4250,0.66,3.877091,3.6823127,"(35, 34)",1,0,False,0.4871168,0.45145884
4251,0.66,3.503065,7.6169243,"(36, 37)",1,1,True,0.68497586,0.98391825
4252,0.66,5.373193,6.9719644,"(38, 37)",1,1,True,0.564753,0.83184665
4253,0.66,6.285391,6.490935,"(44, 45)",1,1,True,0.50804394,0.5512058
4254,0.66,6.6247888,6.793686,"(46, 47)",1,1,True,0.5062935,0.5421242
4255,0.66,7.8444266,7.4122677,"(50, 51)",1,0,False,0.48583707,0.3936109
4256,0.66,6.3795176,7.3879547,"(52, 51)",1,1,True,0.53662395,0.73271424
4257,0.66,4.7150908,7.907072,"(56, 55)",1,1,True,0.6264435,0.9605315
4258,0.66,5.1473913,8.169056,"(56, 57)",1,1,True,0.6134561,0.9535433
4259,0.66,4.0520296,7.957365,"(58, 57)",1,1,True,0.662595,0.9802632
4260,0.66,4.6235332,7.262092,"(58, 59)",1,1,True,0.6109979,0.9333023
4261,0.66,6.197442,5.442902,"(63, 64)",1,0,False,0.46758947,0.31983286
4262,0.66,7.0158505,6.514874,"(75, 74)",1,0,False,0.48148745,0.3773112
4263,0.66,6.0984707,7.785932,"(78, 77)",1,1,True,0.56076825,0.84389
4264,0.66,5.31181,8.304587,"(79, 78)",1,1,True,0.6098961,0.9522468
4265,0.66,6.4071355,7.742534,"(80, 79)",1,1,True,0.54718834,0.7917322
4266,0.66,6.335466,6.4597163,"(83, 84)",1,1,True,0.50485533,0.5310227
4267,0.66,6.818422,6.485781,"(88, 89)",1,0,False,0.48749867,0.41759825
4268,0.66,5.8959055,6.853793,"(95, 94)",1,1,True,0.5375651,0.7226986
4269,0.66,8.181157,7.3578677,"(98, 97)",1,0,False,0.47350898,0.30506587
4270,0.66,7.68308,7.070025,"(98, 99)",1,0,False,0.47922283,0.35136256
4271,0.66,6.331859,3.494418,"(65, 92)",0,0,True,0.35561973,0.055334136
4272,0.66,6.5817423,4.5618534,"(28, 77)",0,0,True,0.40936998,0.11713047
4273,0.66,6.659599,3.952651,"(90, 85)",0,0,True,0.37246117,0.06256463
4274,0.66,6.7322426,5.619463,"(75, 41)",0,0,True,0.45495442,0.24735306
4275,0.66,7.765174,6.9202695,"(51, 47)",0,0,True,0.47123325,0.30050284
4276,0.66,6.51435,6.3276052,"(70, 51)",0,0,True,0.4927291,0.453449
4277,0.66,6.46811,5.6673713,"(31, 38)",0,0,True,0.46700838,0.3098675
4278,0.66,5.841763,6.2412767,"(88, 12)",0,1,False,0.516532,0.5985709
4279,0.66,6.41721,3.5247455,"(53, 39)",0,0,True,0.35453245,0.052527323
4280,0.66,7.741176,4.748504,"(45, 76)",0,0,True,0.38019422,0.047758024
4281,0.66,8.160089,4.791987,"(45, 10)",0,0,True,0.3699783,0.03330738
4282,0.66,6.1911197,5.4010224,"(10, 99)",0,0,True,0.46592098,0.31214777
4283,0.66,5.4343834,5.4257913,"(99, 9)",0,0,True,0.4996044,0.49785197
4284,0.66,6.860445,5.177689,"(80, 96)",0,0,True,0.4301073,0.15673088
4285,0.66,8.021729,6.1654434,"(0, 61)",0,0,True,0.43457872,0.13513653
4286,0.66,8.299473,7.332561,"(89, 0)",0,0,True,0.46907273,0.27549648
4287,0.66,6.668009,5.2778,"(94, 27)",0,0,True,0.44181186,0.19937444
4288,0.66,5.3020253,7.092443,"(20, 59)",0,1,False,0.5722265,0.8569785
4289,0.66,5.9053226,3.2182274,"(93, 67)",0,0,True,0.3527385,0.06373914
4290,0.66,7.1218615,5.6735673,"(50, 64)",0,0,True,0.4434058,0.19026425
4291,0.66,7.340796,6.680755,"(84, 50)",0,0,True,0.47646335,0.34073043
4292,0.66,8.654729,6.767228,"(46, 97)",0,0,True,0.43880478,0.13152967
4293,0.66,7.5242357,5.9704547,"(74, 97)",0,0,True,0.44242987,0.17454085
4294,0.66,5.779422,5.4635725,"(62, 32)",0,0,True,0.4859535,0.42168763
4295,0.66,6.349099,5.4931235,"(86, 83)",0,0,True,0.46385917,0.29818085
4296,0.66,6.806119,6.1066065,"(25, 83)",0,0,True,0.47291386,0.33192033
4297,0.66,5.78833,5.2236123,"(7, 4)",0,0,True,0.47435883,0.36245656
4298,0.66,5.860846,7.959217,"(4, 56)",0,1,False,0.57591754,0.89074475
4299,0.66,6.1785827,6.999055,"(98, 15)",0,1,False,0.53113127,0.6943366
4300,0.66,6.4486504,4.3379793,"(81, 26)",0,0,True,0.40216264,0.10806397
4301,0.66,6.019336,5.58046,"(22, 87)",0,0,True,0.4810826,0.39200878
4302,0.66,6.986597,7.605369,"(1, 79)",0,1,False,0.5212025,0.6499392
4303,0.68,4.617237,6.867013,"(2, 3)",1,1,True,0.59795046,0.9046312
4304,0.68,6.837594,6.444341,"(6, 7)",1,0,False,0.485196,0.40293446
