,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
2305,1000,50.0,10.0,0.5,-1.902678161628767,8.645550340537884,0.8490075290896646,0.6783283827178513,0.9037965714440275,0.18693285800009107,0.1869337558746338,24772.0,4404.0,49.544,8.808,53.964,33.608
2306,1000,50.0,10.0,0.6000000000000001,-2.410650605254194,7.961738149198994,0.8511128165771297,0.6840914983469951,0.9029496342174005,0.18062273199984702,0.18062400817871094,24772.0,4404.0,49.544,8.808,53.094,28.712
2307,1000,50.0,10.0,0.7000000000000001,-2.7654267519057507,7.167101915163037,0.8516502211636611,0.6916009675304124,0.900613854624853,0.18205683299993325,0.18205761909484863,24772.0,4404.0,49.544,8.808,52.252,23.734
2308,1000,50.0,10.0,0.8,-3.3711603263705467,6.977807319955014,0.8506493506493507,0.6877094972067039,0.8979395732272005,0.2827428499999769,0.2827434539794922,24772.0,4404.0,49.544,8.808,51.334,18.722
2309,1000,50.0,10.0,0.9,-4.479557860378416,7.488282993027692,0.84346035015448,0.6911418691672433,0.8936634237811385,0.18187926900009188,0.18187999725341797,24772.0,4404.0,49.544,8.808,50.498,13.68
2310,1000,50.0,10.0,,,,,,,,,,,,,,
2311,1000,50.0,10.0,0.1,0.7320571953017522,11.0683800193946,0.8559233246672616,0.590395807131589,0.8873319829133599,0.16022964800004047,0.1602306365966797,24477.0,4195.0,48.954,8.39,56.38,52.506
2312,1000,50.0,10.0,0.2,-0.37643833320102305,13.250808667257983,0.8561028025086619,0.6177415375781876,0.8915336166933746,0.1679154040002686,0.16791677474975586,24477.0,4195.0,48.954,8.39,55.508,47.438
2313,1000,50.0,10.0,0.30000000000000004,-1.1406497377245166,12.167445439452298,0.8537109179902108,0.6324128019997525,0.8949334475686743,0.1618577579997691,0.16185879707336426,24477.0,4195.0,48.954,8.39,54.812,42.576
2314,1000,50.0,10.0,0.4,-1.6239893537080587,10.209939320891571,0.8519727256833148,0.6312619833009585,0.8937668546728285,0.16414424399999916,0.16414499282836914,24477.0,4195.0,48.954,8.39,53.94,37.722
2315,1000,50.0,10.0,0.5,-1.9075910207142286,8.487960387429984,0.8517352364959417,0.6490581096578613,0.8946474877408883,0.18448184099997889,0.18448281288146973,24477.0,4195.0,48.954,8.39,53.182,32.746
