system,layers,theta,auroc
london,1-2,0.55,0.59
london,1-2,0.60,0.54
london,1-2,0.65,0.53
london,1-2,0.70,0.46
london,1-2,0.75,0.58
london,1-2,0.80,0.51
london,1-2,0.85,0.56
london,1-2,0.90,0.55
london,1-2,0.95,0.82
london,1-2,0.00,0.51
london,1-2,0.05,0.54
london,1-2,0.10,0.48
london,1-2,0.15,0.46
london,1-2,0.20,0.46
london,1-2,0.25,0.58
london,1-2,0.30,0.56
london,1-2,0.35,0.55
london,1-2,0.40,0.50
london,1-2,0.45,0.56
london,1-2,0.50,0.57
london,1-2,0.55,0.53
london,1-2,0.60,0.60
london,1-2,0.65,0.58
london,1-2,0.70,0.69
london,1-2,0.75,0.56
london,1-2,0.80,0.51
london,1-2,0.85,0.68
london,1-2,0.90,0.77
london,1-2,0.95,0.37
london,1-2,0.00,0.50
london,1-2,0.05,0.51
london,1-2,0.10,0.50
london,1-2,0.15,0.51
london,1-2,0.20,0.53
london,1-2,0.25,0.50
london,1-2,0.30,0.59
london,1-2,0.35,0.57
london,1-2,0.40,0.52
london,1-2,0.45,0.53
london,1-2,0.50,0.65
london,1-2,0.55,0.54
london,1-2,0.60,0.49
london,1-2,0.65,0.56
london,1-2,0.70,0.53
london,1-2,0.75,0.62
london,1-2,0.80,0.62
london,1-2,0.85,0.61
london,1-2,0.90,0.51
london,1-2,0.95,0.81
drosophila,2-3,0.00,0.49
drosophila,2-3,0.05,0.57
drosophila,2-3,0.10,0.58
drosophila,2-3,0.15,0.59
drosophila,2-3,0.20,0.61
drosophila,2-3,0.25,0.65
drosophila,2-3,0.30,0.63
drosophila,2-3,0.35,0.67
drosophila,2-3,0.40,0.69
drosophila,2-3,0.45,0.67
drosophila,2-3,0.50,0.70
drosophila,2-3,0.55,0.73
drosophila,2-3,0.60,0.72
drosophila,2-3,0.65,0.72
drosophila,2-3,0.70,0.76
drosophila,2-3,0.75,0.76
drosophila,2-3,0.80,0.76
drosophila,2-3,0.85,0.77
drosophila,2-3,0.90,0.75
drosophila,2-3,0.95,0.79
drosophila,2-3,0.00,0.49
drosophila,2-3,0.05,0.57
drosophila,2-3,0.10,0.60
drosophila,2-3,0.15,0.60
drosophila,2-3,0.20,0.63
drosophila,2-3,0.25,0.61
drosophila,2-3,0.30,0.64
drosophila,2-3,0.35,0.66
drosophila,2-3,0.40,0.68
drosophila,2-3,0.45,0.67
drosophila,2-3,0.50,0.69
drosophila,2-3,0.55,0.71
drosophila,2-3,0.60,0.71
drosophila,2-3,0.65,0.77
drosophila,2-3,0.70,0.74
drosophila,2-3,0.75,0.76
drosophila,2-3,0.80,0.71
drosophila,2-3,0.85,0.76
drosophila,2-3,0.90,0.77
drosophila,2-3,0.95,0.72
drosophila,2-3,0.00,0.48
drosophila,2-3,0.05,0.61
drosophila,2-3,0.10,0.62
drosophila,2-3,0.15,0.61
drosophila,2-3,0.20,0.63
drosophila,2-3,0.25,0.64
drosophila,2-3,0.30,0.68
drosophila,2-3,0.35,0.65
drosophila,2-3,0.40,0.68
drosophila,2-3,0.45,0.67
drosophila,2-3,0.50,0.70
drosophila,2-3,0.55,0.72
drosophila,2-3,0.60,0.72
drosophila,2-3,0.65,0.71
drosophila,2-3,0.70,0.73
drosophila,2-3,0.75,0.73
drosophila,2-3,0.80,0.73
drosophila,2-3,0.85,0.76
drosophila,2-3,0.90,0.82
drosophila,2-3,0.95,0.79
drosophila,2-3,0.00,0.51
drosophila,2-3,0.05,0.59
drosophila,2-3,0.10,0.61
drosophila,2-3,0.15,0.59
drosophila,2-3,0.20,0.61
drosophila,2-3,0.25,0.65
drosophila,2-3,0.30,0.64
drosophila,2-3,0.35,0.65
drosophila,2-3,0.40,0.66
drosophila,2-3,0.45,0.65
drosophila,2-3,0.50,0.69
drosophila,2-3,0.55,0.68
drosophila,2-3,0.60,0.71
drosophila,2-3,0.65,0.72
drosophila,2-3,0.70,0.73
drosophila,2-3,0.75,0.75
drosophila,2-3,0.80,0.75
drosophila,2-3,0.85,0.78
drosophila,2-3,0.90,0.74
drosophila,2-3,0.95,0.73
drosophila,2-3,0.00,0.49
drosophila,2-3,0.05,0.56
drosophila,2-3,0.10,0.61
drosophila,2-3,0.15,0.60
drosophila,2-3,0.20,0.61
drosophila,2-3,0.25,0.62
drosophila,2-3,0.30,0.66
drosophila,2-3,0.35,0.64
drosophila,2-3,0.40,0.67
drosophila,2-3,0.45,0.66
drosophila,2-3,0.50,0.69
drosophila,2-3,0.55,0.71
drosophila,2-3,0.60,0.70
drosophila,2-3,0.65,0.72
drosophila,2-3,0.70,0.73
drosophila,2-3,0.75,0.75
drosophila,2-3,0.80,0.77
drosophila,2-3,0.85,0.82
drosophila,2-3,0.90,0.79
drosophila,2-3,0.95,0.70
arxiv,2-7,0.00,0.51
arxiv,2-7,0.05,0.57
arxiv,2-7,0.10,0.58
arxiv,2-7,0.15,0.64
arxiv,2-7,0.20,0.63
arxiv,2-7,0.25,0.68
arxiv,2-7,0.30,0.69
arxiv,2-7,0.35,0.71
arxiv,2-7,0.40,0.70
arxiv,2-7,0.45,0.74
arxiv,2-7,0.50,0.73
arxiv,2-7,0.55,0.74
arxiv,2-7,0.60,0.77
arxiv,2-7,0.65,0.76
arxiv,2-7,0.70,0.78
arxiv,2-7,0.75,0.80
arxiv,2-7,0.80,0.80
arxiv,2-7,0.85,0.83
arxiv,2-7,0.90,0.84
arxiv,2-7,0.95,0.79
arxiv,2-7,0.00,0.49
arxiv,2-7,0.05,0.53
arxiv,2-7,0.10,0.60
arxiv,2-7,0.15,0.65
arxiv,2-7,0.20,0.65
arxiv,2-7,0.25,0.68
arxiv,2-7,0.30,0.70
arxiv,2-7,0.35,0.71
arxiv,2-7,0.40,0.72
arxiv,2-7,0.45,0.73
arxiv,2-7,0.50,0.73
arxiv,2-7,0.55,0.75
arxiv,2-7,0.60,0.77
arxiv,2-7,0.65,0.79
arxiv,2-7,0.70,0.79
