_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
76,celegans,1,3,0.5499999999999999,0.7708333333333334,0.6078865578865579,-0.8353877692969006,-7.8488530146621605
77,celegans,1,3,0.5499999999999999,0.7776510832383124,0.5837273143205733,-0.6658587457313092,-7.745951689123028
78,celegans,1,3,0.5499999999999999,0.755421686746988,0.562105955119969,-0.5955924735984963,-8.391193855552968
79,celegans,1,3,0.5499999999999999,0.7687861271676301,0.605689301522185,-0.5780251717230259,-8.536784514119407
80,celegans,1,3,0.65,0.7394468704512372,0.5379259643660268,-0.7576900739354075,-8.435394656692985
81,celegans,1,3,0.65,0.745398773006135,0.5497613700168444,-0.6032514450706773,-8.949933236841124
82,celegans,1,3,0.65,0.779050736497545,0.6096117424242424,-0.7055289858763227,-7.2053854464332705
83,celegans,1,3,0.65,0.7460063897763578,0.5565011046559201,-0.8052839670614496,-6.8484342773510605
84,celegans,1,3,0.65,0.762043795620438,0.5866471657838563,-0.895022187904231,-8.05768339939927
85,celegans,1,3,0.75,0.7181628392484343,0.5747668801258285,-0.6982696954913667,-8.998283329471718
86,celegans,1,3,0.75,0.7292576419213974,0.6288645737464634,-0.8677166427892447,-7.709780199253938
87,celegans,1,3,0.75,0.704225352112676,0.5753600418957843,-1.027523976476404,-8.085066446995889
88,celegans,1,3,0.75,0.7155172413793104,0.5620074906367041,-0.9405863393059395,-8.175640193804504
89,celegans,1,3,0.75,0.7070484581497798,0.5308618976651763,-1.016672409401018,-7.654997621150787
90,celegans,1,3,0.85,0.6832740213523132,0.5613640805159272,-1.1698726000192123,-6.753881206493251
91,celegans,1,3,0.85,0.6343283582089553,0.5703103159071847,-1.3149136699795607,-8.31572633405507
92,celegans,1,3,0.85,0.6533333333333333,0.5404001240694789,-1.3141776521233204,-7.471554095147384
93,celegans,1,3,0.85,0.6200716845878136,0.5469868995633187,-1.2739002201766567,-7.971895429978974
94,celegans,1,3,0.85,0.6292134831460674,0.5005095801059927,-1.2126670927845757,-7.823440081924864
95,celegans,1,3,0.95,0.5697674418604651,0.5806111696522656,-1.881345262970444,-6.211945741000284
