,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time
69,1000,5.0,5.0,0.9,[0.],[[2.72031022]],0.43506493506493504,0.43012830132052826,0.46323905498926843,0.020172328222543,0.020173072814941406
70,1000,5.0,5.0,,,,,,,,
71,1000,5.0,5.0,0.1,[0.],[[9.69029063]],0.49108469539375926,0.4969381746810598,0.48812628474483843,0.023858676198869944,0.023859262466430664
72,1000,5.0,5.0,0.2,[0.],[[10.43605138]],0.4937828129317491,0.4771727535658122,0.4694516866533892,0.024114699102938175,0.024115324020385742
73,1000,5.0,5.0,0.30000000000000004,[0.],[[8.48759092]],0.4881889763779528,0.47700392758139865,0.47746981690842966,0.02320490893907845,0.023205280303955078
74,1000,5.0,5.0,0.4,[0.],[[6.95879608]],0.4846353202517586,0.47005168060683034,0.4651398458083387,0.023465689970180392,0.023466110229492188
75,1000,5.0,5.0,0.5,[0.],[[5.73484866]],0.4842196281884998,0.47586947515154965,0.48179361480234684,0.02226190804503858,0.0222623348236084
76,1000,5.0,5.0,0.6000000000000001,[0.],[[4.6794942]],0.4722536806342016,0.4537400564536823,0.45310398679059827,0.02200875896960497,0.02200913429260254
77,1000,5.0,5.0,0.7000000000000001,[0.],[[3.85547599]],0.4566010211524435,0.4593868426655312,0.46201698386629997,0.020900891162455082,0.02090144157409668
78,1000,5.0,5.0,0.8,[0.],[[3.14748944]],0.44845908607863977,0.441949401400497,0.4516295540426136,0.02088397298939526,0.020884275436401367
79,1000,5.0,5.0,0.9,[0.],[[2.60180172]],0.48558758314855877,0.46690554002441237,0.45943514433263133,0.02048652619123459,0.020487070083618164
