,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,process_time,wall_time
30,celegans,1,2,"{'emb', 'imb'}",0.05,[-0.60143536],[[0.97156052]],0.6571936056838366,0.5542886150399103,0.38272303448956274,12.580348292000053,12.580350399017334
31,celegans,1,2,"{'emb', 'imb'}",0.15,[-0.72156144],[[3.08734404]],0.6504468718967229,0.5135848794385379,0.35795026669384733,12.759686336999948,12.759688138961792
32,celegans,1,2,"{'emb', 'imb'}",0.25,[-0.66427812],[[5.29079329]],0.6449511400651465,0.5286951590452131,0.36575983379063237,12.722913980999692,12.722917318344116
33,celegans,1,2,"{'emb', 'imb'}",0.35,[-0.49338109],[[6.48227028]],0.6465968586387435,0.5587828280897588,0.3736495312627599,12.408193960999597,12.408194541931152
34,celegans,1,2,"{'emb', 'imb'}",0.44999999999999996,[-0.50587931],[[8.4484613]],0.6257668711656442,0.5289545359312802,0.36291720576163566,12.472227524000118,12.472228765487671
35,celegans,1,2,"{'emb', 'imb'}",0.5499999999999999,[-0.52314947],[[9.38427626]],0.6196911196911197,0.5282603376559823,0.372654649519663,11.708659842000088,11.70866060256958
36,celegans,1,2,"{'emb', 'imb'}",0.65,[-0.66619687],[[9.59020257]],0.5849514563106796,0.5619259259259259,0.435219633087949,11.08774527300011,11.087746381759644
37,celegans,1,2,"{'emb', 'imb'}",0.75,[-0.59491205],[[9.50935705]],0.6319702602230484,0.545692883895131,0.3981552387588045,11.92071201500039,11.920713424682617
38,celegans,1,2,"{'emb', 'imb'}",0.85,[-0.70935123],[[8.31043898]],0.5964912280701754,0.6044936903662665,0.3967893797724869,11.654440381000313,11.654442071914673
39,celegans,1,2,"{'emb', 'imb'}",0.95,[-1.11743626],[[7.33188524]],0.5689655172413793,0.4557575757575758,0.3852625034081623,11.405665166999825,11.405665874481201
40,celegans,1,2,"{'deg', 'imb'}",0.05,[-0.47450369],[[3.10104601]],0.6612758310871518,0.5887115835010494,0.44038349977545455,0.009853876999841304,0.00985574722290039
41,celegans,1,2,"{'deg', 'imb'}",0.15,[-0.24246071],[[5.3469693]],0.6420845624385447,0.6078392781444922,0.4164058813460502,0.010605352999846218,0.010606050491333008
42,celegans,1,2,"{'deg', 'imb'}",0.25,[-0.02288878],[[5.93801504]],0.647982062780269,0.6083291764919281,0.44217905363757604,0.009681493999778468,0.009681940078735352
43,celegans,1,2,"{'deg', 'imb'}",0.35,[0.17664479],[[5.72142276]],0.604381443298969,0.598249299719888,0.4137372147176868,0.009156922999864037,0.009157419204711914
