,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
226,0.04,"(34, 33)",True,d_G,6.8090253,1,inverse,0.5099578
227,0.04,"(35, 34)",True,d_G,4.891078,1,inverse,0.52733785
228,0.04,"(36, 35)",True,d_G,7.2082977,1,inverse,0.53318495
229,0.04,"(36, 37)",True,d_G,8.833256,1,inverse,0.50846887
230,0.04,"(38, 37)",True,d_G,7.9672594,1,inverse,0.51586777
231,0.04,"(39, 38)",False,d_G,8.403895,1,inverse,0.49143198
232,0.04,"(41, 40)",False,d_G,8.238,1,inverse,0.48928422
233,0.04,"(41, 42)",True,d_G,7.8377295,1,inverse,0.51007986
234,0.04,"(42, 43)",True,d_G,8.265728,1,inverse,0.50307614
235,0.04,"(43, 44)",True,d_G,8.452728,1,inverse,0.52462333
236,0.04,"(44, 45)",True,d_G,8.514542,1,inverse,0.5116267
237,0.04,"(46, 45)",True,d_G,8.498789,1,inverse,0.5073978
238,0.04,"(46, 47)",True,d_G,8.656796,1,inverse,0.5014841
239,0.04,"(48, 47)",False,d_G,8.73522,1,inverse,0.48120725
240,0.04,"(49, 48)",False,d_G,8.849245,1,inverse,0.48561883
241,0.04,"(50, 49)",True,d_G,8.276209,1,inverse,0.5078323
242,0.04,"(50, 51)",True,d_G,7.4711447,1,inverse,0.5315976
243,0.04,"(52, 51)",True,d_G,6.6204805,1,inverse,0.5541993
244,0.04,"(53, 54)",True,d_G,8.056137,1,inverse,0.50307506
245,0.04,"(55, 54)",True,d_G,7.919689,1,inverse,0.5161453
246,0.04,"(56, 55)",False,d_G,8.819108,1,inverse,0.49359038
247,0.04,"(56, 57)",False,d_G,7.8899508,1,inverse,0.49942786
248,0.04,"(58, 57)",True,d_G,7.6860485,1,inverse,0.51483357
249,0.04,"(58, 59)",False,d_G,7.863732,1,inverse,0.49040043
250,0.04,"(59, 60)",True,d_G,8.037771,1,inverse,0.5277229
251,0.04,"(61, 60)",True,d_G,7.6050153,1,inverse,0.5261849
252,0.04,"(62, 61)",True,d_G,8.561268,1,inverse,0.50942296
253,0.04,"(63, 62)",True,d_G,8.602055,1,inverse,0.50550056
254,0.04,"(63, 64)",False,d_G,8.370281,1,inverse,0.49426627
255,0.04,"(65, 64)",True,d_G,7.584865,1,inverse,0.5008217
256,0.04,"(66, 65)",False,d_G,8.480203,1,inverse,0.4825901
257,0.04,"(67, 66)",False,d_G,8.744376,1,inverse,0.4715289
258,0.04,"(68, 67)",False,d_G,7.848666,1,inverse,0.49784306
259,0.04,"(68, 69)",True,d_G,6.949214,1,inverse,0.5304741
260,0.04,"(70, 69)",True,d_G,5.963593,1,inverse,0.5695953
261,0.04,"(71, 70)",True,d_G,7.9958615,1,inverse,0.51792306
262,0.04,"(72, 71)",False,d_G,9.078206,1,inverse,0.49908417
263,0.04,"(72, 73)",True,d_G,8.689028,1,inverse,0.5007225
264,0.04,"(73, 74)",True,d_G,8.959763,1,inverse,0.50375277
265,0.04,"(75, 74)",False,d_G,9.223364,1,inverse,0.4989624
266,0.04,"(75, 76)",True,d_G,8.845772,1,inverse,0.50671244
267,0.04,"(76, 77)",True,d_G,8.753876,1,inverse,0.50464237
268,0.04,"(78, 77)",False,d_G,9.003273,1,inverse,0.49991244
269,0.04,"(79, 78)",True,d_G,8.677334,1,inverse,0.50028723
270,0.04,"(80, 79)",True,d_G,8.692918,1,inverse,0.51241213
