,N,p1,p2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
62,1000,0.002154434690031882,0.00046415888336127773,0.45,0.0,5.437928832116928,0.648493543758967,0.4894383394383395,0.8114167599706664,0.009087784999792348,0.00908803939819336,1026.0,230.0,2.052,0.46,2.312,1.594
63,1000,0.002154434690031882,0.00046415888336127773,0.675,0.0,4.325231614682828,0.6791044776119403,0.4720154937546242,0.8125026219866363,0.009023724000144284,0.00902414321899414,1026.0,230.0,2.052,0.46,2.19,1.126
64,1000,0.002154434690031882,0.00046415888336127773,0.9,0.0,3.248437648084862,0.7094017094017094,0.419890873015873,0.7958595940104389,0.008863825999469555,0.008864164352416992,1026.0,230.0,2.052,0.46,2.094,0.652
65,1000,0.002154434690031882,0.001,,,,,,,,,,,,,,
66,1000,0.002154434690031882,0.001,0.225,0.0,6.587050456820897,0.49403341288782815,0.5134070058381985,0.7068038113350651,0.011166099000547547,0.011166572570800781,1098.0,497.0,2.196,0.994,2.966,2.738
67,1000,0.002154434690031882,0.001,0.45,0.0,5.60782785523117,0.5615212527964206,0.5177142524113413,0.6924303073060529,0.010665332999451493,0.0106658935546875,1098.0,497.0,2.196,0.994,2.754,2.224
68,1000,0.002154434690031882,0.001,0.675,0.0,3.8966839595332097,0.5846774193548387,0.49591288281731144,0.6904826620053358,0.01079139900048176,0.010791540145874023,1098.0,497.0,2.196,0.994,2.514,1.668
69,1000,0.002154434690031882,0.001,0.9,0.0,3.021603418380895,0.5914634146341463,0.47403508771929825,0.6869998833238321,0.01040772200030915,0.01040792465209961,1098.0,497.0,2.196,0.994,2.296,1.222
70,1000,0.002154434690031882,0.002154434690031882,,,,,,,,,,,,,,
71,1000,0.002154434690031882,0.002154434690031882,0.225,0.0,7.7445265270077055,0.48954489544895446,0.483845950138085,0.491763165476119,0.014007489000505302,0.014008522033691406,1071.0,1043.0,2.142,2.086,3.744,3.736
72,1000,0.002154434690031882,0.002154434690031882,0.45,0.0,6.414454397619123,0.4931972789115646,0.48632550335570474,0.5000103757459912,0.013147251000191318,0.013147354125976562,1071.0,1043.0,2.142,2.086,3.302,3.278
73,1000,0.002154434690031882,0.002154434690031882,0.675,0.0,4.219103623566915,0.5064935064935064,0.4956674394942705,0.5408342484355038,0.01318972099943494,0.013190269470214844,1071.0,1043.0,2.142,2.086,2.81,2.804
74,1000,0.002154434690031882,0.002154434690031882,0.9,0.0,3.0381564096484523,0.4784688995215311,0.4714325529542921,0.44388061899626585,0.013309985999512719,0.013310432434082031,1071.0,1043.0,2.142,2.086,2.376,2.27
75,1000,0.004641588833612777,0.0001,,,,,,,,,,,,,,
