,walk_length,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
216,5,"(21, 22)",True,d_G,1.6153858,1,inverse,0.52903855
217,5,"(24, 25)",False,d_G,2.013456,1,inverse,0.4869056
218,5,"(25, 26)",True,d_G,1.7017989,1,inverse,0.524168
219,5,"(27, 26)",False,d_G,1.7327435,1,inverse,0.4635468
220,5,"(29, 28)",False,d_G,1.9700036,1,inverse,0.45184925
221,5,"(31, 30)",False,d_G,1.6931298,1,inverse,0.40261585
222,5,"(32, 31)",True,d_G,1.5749086,1,inverse,0.57142794
223,5,"(33, 32)",True,d_G,0.9881595,1,inverse,0.6590422
224,5,"(34, 33)",True,d_G,1.0903138,1,inverse,0.66006416
225,5,"(35, 34)",True,d_G,1.6094072,1,inverse,0.52794135
226,5,"(36, 37)",True,d_G,1.4401649,1,inverse,0.54091996
227,5,"(38, 37)",True,d_G,1.7172617,1,inverse,0.5012778
228,5,"(41, 42)",False,d_G,1.4200617,1,inverse,0.43248656
229,5,"(43, 44)",False,d_G,1.9608521,1,inverse,0.48071626
230,5,"(45, 44)",False,d_G,1.8737546,1,inverse,0.4973553
231,5,"(46, 47)",True,d_G,1.6486483,1,inverse,0.51334673
232,5,"(47, 48)",True,d_G,1.7113783,1,inverse,0.5140768
233,5,"(49, 48)",False,d_G,1.8133013,1,inverse,0.48378384
234,5,"(50, 51)",True,d_G,1.2688345,1,inverse,0.6136552
235,5,"(52, 51)",True,d_G,1.0579107,1,inverse,0.57065934
236,5,"(53, 54)",True,d_G,1.1363784,1,inverse,0.58157957
237,5,"(55, 56)",True,d_G,1.6283543,1,inverse,0.5220478
238,5,"(56, 57)",True,d_G,1.5936346,1,inverse,0.59394157
239,5,"(57, 58)",True,d_G,1.4114137,1,inverse,0.5796896
240,5,"(62, 63)",True,d_G,1.4881898,1,inverse,0.5406418
241,5,"(65, 64)",False,d_G,1.774014,1,inverse,0.48466757
242,5,"(68, 67)",False,d_G,1.9920259,1,inverse,0.45403835
243,5,"(71, 70)",True,d_G,1.3645461,1,inverse,0.53826225
244,5,"(76, 77)",True,d_G,1.716347,1,inverse,0.5382858
245,5,"(77, 78)",True,d_G,1.0987571,1,inverse,0.63838357
246,5,"(80, 79)",True,d_G,1.5065653,1,inverse,0.54026926
247,5,"(80, 81)",True,d_G,1.3138348,1,inverse,0.57319826
248,5,"(82, 81)",True,d_G,1.9657598,1,inverse,0.5376361
249,5,"(83, 82)",True,d_G,1.7283942,1,inverse,0.51720715
250,5,"(83, 84)",True,d_G,1.4286342,1,inverse,0.52483684
251,5,"(86, 85)",True,d_G,1.7688326,1,inverse,0.50218475
252,5,"(86, 87)",True,d_G,1.753567,1,inverse,0.5513072
253,5,"(88, 87)",True,d_G,1.4478173,1,inverse,0.5061749
254,5,"(90, 89)",True,d_G,1.5418556,1,inverse,0.5252072
255,5,"(92, 91)",True,d_G,1.5298852,1,inverse,0.5767844
256,5,"(92, 93)",True,d_G,1.5011765,1,inverse,0.58201665
257,5,"(94, 93)",True,d_G,1.268412,1,inverse,0.60920817
258,5,"(95, 94)",True,d_G,1.3179134,1,inverse,0.5832825
259,5,"(96, 97)",False,d_G,2.0726075,1,inverse,0.48976076
260,5,"(98, 97)",False,d_G,1.9021127,1,inverse,0.4912018
261,5,"(66, 72)",True,d_G,1.7454895,0,inverse,0.34590605
262,5,"(91, 8)",True,d_G,1.804252,0,inverse,0.42681968
263,5,"(98, 27)",True,d_G,1.7821709,0,inverse,0.4426456
264,5,"(88, 26)",False,d_G,1.5632553,0,inverse,0.5021712
265,5,"(18, 88)",True,d_G,1.8750209,0,inverse,0.48285082
266,5,"(71, 16)",False,d_G,1.3704722,0,inverse,0.5486508
267,5,"(99, 36)",True,d_G,1.8448122,0,inverse,0.36874437
