_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
89,arxiv,2,7,0.75,0.9040799783842205,0.5581505771027842,2.3147321576372093,-0.3711720833555901
90,arxiv,2,7,0.85,0.8963800904977376,0.5187887551829719,2.2524897834363338,-0.0046387162973033835
91,arxiv,2,7,0.85,0.8981269986295112,0.49429539845535536,2.2760834036252224,-0.07872916018335419
92,arxiv,2,7,0.85,0.8966442953020134,0.546830581261719,2.2608122423558834,-0.03402888768279309
93,arxiv,2,7,0.85,0.907243816254417,0.4545880280057495,2.2530058083549753,-0.08407362281311233
94,arxiv,2,7,0.85,0.8894449499545041,0.5406902213381327,2.2742078534035874,-0.027221938977917817
95,arxiv,2,7,0.95,0.9138418079096046,0.5982973116781108,2.050952889621116,0.4442126340130997
96,arxiv,2,7,0.95,0.9083333333333333,0.6292975627838013,2.0472109375140066,0.4421107159952552
97,arxiv,2,7,0.95,0.8986975397973951,0.629445594662986,2.0587621459159453,0.45513682297383046
98,arxiv,2,7,0.95,0.8922237380627558,0.5168776371308016,2.0599879749557783,0.4203072661977261
99,arxiv,2,7,0.95,0.9159891598915989,0.6129032258064516,2.0869270915538287,0.478767777545112
100,arxiv,6,7,0.05,0.7732043873098243,0.5585932601501004,1.0327139815810071,-0.6462216487976222
101,arxiv,6,7,0.05,0.7656730541755382,0.5619209317728531,1.3018506503205363,-0.4768254186755079
102,arxiv,6,7,0.05,0.7730278696268305,0.5689859235112278,0.980645885970897,-0.8393346944958723
103,arxiv,6,7,0.05,0.7656046428994433,0.5523915406320824,1.3104481874256058,-0.19613525275371788
104,arxiv,6,7,0.05,0.7687219466099693,0.5338478302018215,1.1451684523552794,-0.590957077960099
105,arxiv,6,7,0.15,0.7712998542467205,0.6245171756481744,1.260076433386768,-0.7602695226478519
106,arxiv,6,7,0.15,0.774970545882969,0.6072276447234525,1.2555901598003687,-0.946521363893375
107,arxiv,6,7,0.15,0.7783154590635627,0.614134544992528,1.134816854482096,-0.8387060556560704
108,arxiv,6,7,0.15,0.7718209428231877,0.6054826204324878,1.1787217303658504,-0.6448827872835327
109,arxiv,6,7,0.15,0.7727034120734908,0.6135186904576829,1.3022189785430822,-1.158136172822206
110,arxiv,6,7,0.25,0.786855862584018,0.6853940803649918,1.1828281802415819,-1.0269901955597769
111,arxiv,6,7,0.25,0.7793963057516143,0.6444512009729402,1.3110211985155025,-1.1653940573364208
112,arxiv,6,7,0.25,0.7872054876230241,0.6367228652236955,1.235118661497504,-1.0741980679480188
113,arxiv,6,7,0.25,0.78888557806913,0.637823081282499,1.2452004007496453,-1.2842503927603892
114,arxiv,6,7,0.25,0.7833434835566383,0.6662420825368354,1.2156343676789312,-1.155061320969667
115,arxiv,6,7,0.35,0.7900803353126091,0.6782362020127128,1.196512457443645,-0.9395611203247111
116,arxiv,6,7,0.35,0.7814500778681432,0.6705011619132651,1.2276993521331796,-0.9071652681914167
117,arxiv,6,7,0.35,0.7871534355088686,0.6768571614904808,1.239053991259092,-1.0124884685264426
118,arxiv,6,7,0.35,0.7874261896491838,0.659074145263107,1.2095755390453418,-0.9175100688853665
119,arxiv,6,7,0.35,0.7903614457831325,0.6806070583509678,1.2307676577267126,-0.9732487913013187
120,arxiv,6,7,0.44999999999999996,0.7896360271437385,0.6850238777010695,1.2867707212301793,-0.9507561509565433
121,arxiv,6,7,0.44999999999999996,0.7804628302273193,0.656860377219344,1.349083990527319,-0.9385443009587268
122,arxiv,6,7,0.44999999999999996,0.7867047308319739,0.6561893999540789,1.2713370223970304,-0.8932189220213291
123,arxiv,6,7,0.44999999999999996,0.7929324240545568,0.6790778922895194,1.2674139115154424,-1.0076276109157112
124,arxiv,6,7,0.44999999999999996,0.7844616639477977,0.6569138918164206,1.2763071425023582,-0.8997318080981191
125,arxiv,6,7,0.5499999999999999,0.7838709677419354,0.6679384825700616,1.2725389077378555,-0.7376286626623033
126,arxiv,6,7,0.5499999999999999,0.7979287698913867,0.6856681145930292,1.1982772384821632,-0.7192245918946375
127,arxiv,6,7,0.5499999999999999,0.7843857072931962,0.6655870580625759,1.1964259572035618,-0.6268726201975456
128,arxiv,6,7,0.5499999999999999,0.7894468518990568,0.6756217927391142,1.3135101675658323,-0.8279599748140885
129,arxiv,6,7,0.5499999999999999,0.7802524127691166,0.6815194587616569,1.279798263129119,-0.6598405493454066
